Month,Total Activities,Accepted Activities,Acceptance Rate
2023-01,883,206,0.2332955832389581
2023-02,992,229,0.23084677419354838
2023-03,1113,281,0.252470799640611
2023-04,839,262,0.31227651966626935
2023-05,964,221,0.229253112033195
2023-06,795,214,0.2691823899371069
2023-07,1027,229,0.22297955209347614
2023-08,927,230,0.2481121898597627
2023-09,1032,266,0.25775193798449614
2023-10,1097,319,0.2907930720145852
2023-11,1284,280,0.21806853582554517
2023-12,981,234,0.23853211009174313
2024-01,1208,295,0.24420529801324503
2024-02,1162,301,0.25903614457831325
2024-03,1318,334,0.2534142640364188
2024-04,1049,298,0.2840800762631077
